latitude,longitude,frp,daynight,datetime
20.22104,86.47216,2.6,D,2026-05-14 07:12:00
20.37203,86.39958,2.89,D,2026-05-14 07:12:00
20.41899,78.25526,8.41,D,2026-05-14 07:12:00
20.68355,84.22253,2.48,D,2026-05-14 07:12:00
20.79366,85.25384,2.56,D,2026-05-14 07:12:00
20.83163,84.19733,3.49,D,2026-05-14 07:12:00
20.8319,84.19429,3.93,D,2026-05-14 07:12:00
20.83766,81.53097,4.37,D,2026-05-14 07:12:00
20.83855,84.13133,5.05,D,2026-05-14 07:12:00
20.8643,84.20902,4.88,D,2026-05-14 07:12:00
20.88666,84.98447,6.27,D,2026-05-14 07:12:00
20.90011,81.39057,5.24,D,2026-05-14 07:12:00
20.90287,81.38945,4.66,D,2026-05-14 07:12:00
20.95067,86.04993,3.78,D,2026-05-14 07:12:00
20.95535,85.01522,5.3,D,2026-05-14 07:12:00
20.96252,85.16869,4.1,D,2026-05-14 07:12:00
20.96262,85.1924,8.38,D,2026-05-14 07:12:00
20.96343,85.17328,4.1,D,2026-05-14 07:12:00
20.96383,86.00474,5.24,D,2026-05-14 07:12:00
20.9646,86.00881,5.24,D,2026-05-14 07:12:00
20.96781,85.17229,6.53,D,2026-05-14 07:12:00
20.96872,85.1769,11.33,D,2026-05-14 07:12:00
20.96948,85.15743,5.4,D,2026-05-14 07:12:00
20.97387,85.15645,5.95,D,2026-05-14 07:12:00
21.06416,83.95206,3.95,D,2026-05-14 07:12:00
21.25196,82.5556,2.52,D,2026-05-14 07:12:00
21.25315,82.55548,2.54,D,2026-05-14 07:12:00
21.32459,79.53235,2.85,D,2026-05-14 07:12:00
21.34402,79.22738,3.72,D,2026-05-14 07:12:00
21.36642,78.66127,6.86,D,2026-05-14 07:12:00
21.37109,78.65691,4.42,D,2026-05-14 07:12:00
21.47291,76.88627,2.31,D,2026-05-14 07:12:00
21.48933,81.81281,3.69,D,2026-05-14 07:12:00
21.60338,83.92298,4.0,D,2026-05-14 07:12:00
21.60447,83.92834,4.0,D,2026-05-14 07:12:00
21.60868,84.04465,19.05,D,2026-05-14 07:12:00
21.61704,77.19101,12.82,D,2026-05-14 07:12:00
21.621,77.18774,3.96,D,2026-05-14 07:12:00
21.6227,77.19435,5.65,D,2026-05-14 07:12:00
21.62722,77.20225,8.13,D,2026-05-14 07:12:00
21.63125,77.19895,5.65,D,2026-05-14 07:12:00
21.67867,83.88055,4.9,D,2026-05-14 07:12:00
21.68052,84.03882,3.75,D,2026-05-14 07:12:00
21.72211,77.41245,2.89,D,2026-05-14 07:12:00
21.72361,77.41431,4.15,D,2026-05-14 07:12:00
21.74427,78.12021,9.49,D,2026-05-14 07:12:00
21.74935,78.12308,4.93,D,2026-05-14 07:12:00
21.74985,83.81911,7.8,D,2026-05-14 07:12:00
21.75004,83.81635,8.19,D,2026-05-14 07:12:00
21.78185,81.68148,5.26,D,2026-05-14 07:12:00
21.78266,81.68517,6.51,D,2026-05-14 07:12:00
21.81183,77.82688,7.21,D,2026-05-14 07:12:00
21.83328,81.68425,2.05,D,2026-05-14 07:12:00
21.83436,81.68347,2.17,D,2026-05-14 07:12:00
21.92114,83.35146,4.15,D,2026-05-14 07:12:00
22.01782,79.18863,9.69,D,2026-05-14 07:12:00
22.01906,79.18578,12.36,D,2026-05-14 07:12:00
22.02091,79.03769,5.03,D,2026-05-14 07:12:00
22.0411,81.29974,1.78,D,2026-05-14 07:12:00
22.09002,83.11705,7.01,D,2026-05-14 07:12:00
22.15201,77.36464,4.81,D,2026-05-14 07:12:00
22.15242,80.36652,4.41,D,2026-05-14 07:12:00
22.16905,77.20242,3.31,D,2026-05-14 07:12:00
22.20741,76.90272,4.78,D,2026-05-14 07:12:00
22.21058,76.90345,4.69,D,2026-05-14 07:12:00
22.21457,84.84174,3.92,D,2026-05-14 07:12:00
22.3788,87.27919,11.77,D,2026-05-14 07:12:00
22.38134,79.66318,5.95,D,2026-05-14 07:12:00
22.42929,79.70611,9.56,D,2026-05-14 07:12:00
22.4506,80.1636,1.93,D,2026-05-14 07:12:00
22.45587,80.16357,3.14,D,2026-05-14 07:12:00
22.55654,80.46473,6.49,D,2026-05-14 07:12:00
22.55752,80.46896,6.49,D,2026-05-14 07:12:00
22.57477,85.89274,2.71,D,2026-05-14 07:12:00
22.64561,79.13403,6.43,D,2026-05-14 07:12:00
22.64605,79.13222,6.43,D,2026-05-14 07:12:00
22.94085,79.80481,7.58,D,2026-05-14 07:12:00
22.94347,79.80322,3.54,D,2026-05-14 07:12:00
22.94452,79.80777,3.54,D,2026-05-14 07:12:00
23.04709,80.07419,3.9,D,2026-05-14 07:12:00
23.05266,80.01936,6.3,D,2026-05-14 07:12:00
23.06362,79.75576,5.81,D,2026-05-14 07:12:00
23.09755,80.00223,4.43,D,2026-05-14 07:12:00
23.1647,82.34034,4.15,D,2026-05-14 07:12:00
23.16632,82.34175,2.85,D,2026-05-14 07:12:00
23.18634,81.23547,3.71,D,2026-05-14 07:12:00
23.244,78.4448,3.63,D,2026-05-14 07:12:00
23.27384,79.67004,3.3,D,2026-05-14 07:12:00
23.32638,81.47401,2.23,D,2026-05-14 07:12:00
23.64838,85.4381,6.78,D,2026-05-14 07:12:00
23.71139,86.45209,7.92,D,2026-05-14 07:12:00
23.7365,86.43556,11.93,D,2026-05-14 07:12:00
23.76257,86.4022,4.32,D,2026-05-14 07:12:00
23.76351,86.40528,4.61,D,2026-05-14 07:12:00
23.76738,86.40441,4.61,D,2026-05-14 07:12:00
23.76743,86.40672,9.12,D,2026-05-14 07:12:00
23.77579,86.36364,5.22,D,2026-05-14 07:12:00
23.7794,86.21107,8.8,D,2026-05-14 07:12:00
23.78087,86.39044,13.11,D,2026-05-14 07:12:00
23.79808,86.35323,2.3,D,2026-05-14 07:12:00
23.82331,84.57278,6.26,D,2026-05-14 07:12:00
23.85951,82.74203,7.45,D,2026-05-14 07:12:00
24.12431,83.50392,3.21,D,2026-05-14 07:12:00
23.24623,78.44666,3.5,D,2026-05-14 07:14:00
23.30146,77.14745,2.44,D,2026-05-14 07:14:00
23.36145,77.89923,6.35,D,2026-05-14 07:14:00
23.36342,77.90163,9.86,D,2026-05-14 07:14:00
23.41572,77.72942,7.48,D,2026-05-14 07:14:00
23.46803,77.44288,8.22,D,2026-05-14 07:14:00
23.46951,77.43648,8.99,D,2026-05-14 07:14:00
23.47107,77.44263,7.96,D,2026-05-14 07:14:00
23.49556,78.35666,3.74,D,2026-05-14 07:14:00
23.521,79.33437,7.93,D,2026-05-14 07:14:00
23.54572,78.38615,7.9,D,2026-05-14 07:14:00
23.54995,78.38829,6.91,D,2026-05-14 07:14:00
23.5638,78.35178,9.33,D,2026-05-14 07:14:00
23.56511,78.35701,9.33,D,2026-05-14 07:14:00
23.56808,78.35332,14.03,D,2026-05-14 07:14:00
23.56903,78.4262,4.26,D,2026-05-14 07:14:00
23.57526,78.42451,4.26,D,2026-05-14 07:14:00
23.60589,79.82189,15.15,D,2026-05-14 07:14:00
23.60695,79.82639,18.05,D,2026-05-14 07:14:00
23.69666,77.93123,8.57,D,2026-05-14 07:14:00
23.69805,77.93459,15.22,D,2026-05-14 07:14:00
23.69808,77.93706,8.57,D,2026-05-14 07:14:00
23.70308,78.91607,9.29,D,2026-05-14 07:14:00
23.77957,78.57125,8.45,D,2026-05-14 07:14:00
23.78344,78.58712,9.11,D,2026-05-14 07:14:00
23.83015,79.09781,6.6,D,2026-05-14 07:14:00
23.83056,79.09628,9.7,D,2026-05-14 07:14:00
23.86926,78.23805,6.37,D,2026-05-14 07:14:00
23.87712,77.66993,9.56,D,2026-05-14 07:14:00
23.89403,79.60251,2.82,D,2026-05-14 07:14:00
23.90213,78.0188,7.24,D,2026-05-14 07:14:00
23.90306,78.01616,6.32,D,2026-05-14 07:14:00
23.91346,78.56372,5.67,D,2026-05-14 07:14:00
23.91373,78.59177,8.98,D,2026-05-14 07:14:00
23.93609,78.06692,2.72,D,2026-05-14 07:14:00
23.93845,80.25626,6.36,D,2026-05-14 07:14:00
23.94228,78.26386,9.04,D,2026-05-14 07:14:00
23.94401,78.21665,7.32,D,2026-05-14 07:14:00
23.94749,78.21889,9.31,D,2026-05-14 07:14:00
23.97791,80.87427,5.56,D,2026-05-14 07:14:00
23.98137,78.68992,16.32,D,2026-05-14 07:14:00
23.98248,78.68805,24.46,D,2026-05-14 07:14:00
23.98374,78.6933,24.52,D,2026-05-14 07:14:00
23.98744,78.68823,20.52,D,2026-05-14 07:14:00
24.07462,78.27572,7.4,D,2026-05-14 07:14:00
24.12403,77.9521,6.84,D,2026-05-14 07:14:00
24.15207,81.35207,1.1,D,2026-05-14 07:14:00
24.15576,81.3496,12.13,D,2026-05-14 07:14:00
24.15724,81.35056,8.51,D,2026-05-14 07:14:00
24.18499,80.32635,4.31,D,2026-05-14 07:14:00
24.20504,80.58801,2.72,D,2026-05-14 07:14:00
24.20593,80.5918,2.72,D,2026-05-14 07:14:00
24.20622,80.59031,3.96,D,2026-05-14 07:14:00
24.26553,82.66944,2.08,D,2026-05-14 07:14:00
24.30868,82.24196,4.29,D,2026-05-14 07:14:00
24.31041,79.77361,3.03,D,2026-05-14 07:14:00
24.35432,81.09016,4.74,D,2026-05-14 07:14:00
24.37586,79.95191,5.21,D,2026-05-14 07:14:00
24.37729,78.36417,6.5,D,2026-05-14 07:14:00
24.37807,79.95203,5.64,D,2026-05-14 07:14:00
24.46488,77.08876,5.05,D,2026-05-14 07:14:00
24.46902,77.08991,5.61,D,2026-05-14 07:14:00
24.49888,80.48934,7.03,D,2026-05-14 07:14:00
24.49901,80.48932,4.52,D,2026-05-14 07:14:00
24.50584,80.31976,7.34,D,2026-05-14 07:14:00
24.52358,79.04063,5.12,D,2026-05-14 07:14:00
24.52413,80.62608,7.81,D,2026-05-14 07:14:00
24.525,80.62992,15.15,D,2026-05-14 07:14:00
24.52533,80.78178,5.26,D,2026-05-14 07:14:00
24.52603,80.62943,16.92,D,2026-05-14 07:14:00
24.52783,79.97317,11.35,D,2026-05-14 07:14:00
24.53854,76.53378,10.12,D,2026-05-14 07:14:00
24.57243,80.6572,6.82,D,2026-05-14 07:14:00
24.57777,81.06259,3.28,D,2026-05-14 07:14:00
24.57858,81.06617,3.28,D,2026-05-14 07:14:00
24.58381,81.06474,4.54,D,2026-05-14 07:14:00
24.58462,81.06834,10.96,D,2026-05-14 07:14:00
24.58543,81.07192,10.96,D,2026-05-14 07:14:00
24.58905,81.06332,4.54,D,2026-05-14 07:14:00
24.58986,81.06693,10.96,D,2026-05-14 07:14:00
24.59068,81.07055,10.96,D,2026-05-14 07:14:00
24.59871,80.722,9.34,D,2026-05-14 07:14:00
24.59957,80.72575,9.34,D,2026-05-14 07:14:00
24.60623,81.16429,5.68,D,2026-05-14 07:14:00
24.60703,81.16784,5.66,D,2026-05-14 07:14:00
24.60826,79.51878,2.33,D,2026-05-14 07:14:00
24.60896,79.51789,2.42,D,2026-05-14 07:14:00
24.6339,79.54939,6.0,D,2026-05-14 07:14:00
24.63668,81.1524,2.29,D,2026-05-14 07:14:00
24.65254,78.59483,3.95,D,2026-05-14 07:14:00
24.66018,81.45375,1.5,D,2026-05-14 07:14:00
24.67011,83.29671,5.48,D,2026-05-14 07:14:00
24.68793,80.06178,5.04,D,2026-05-14 07:14:00
24.68888,80.06586,5.29,D,2026-05-14 07:14:00
24.69194,81.00858,8.17,D,2026-05-14 07:14:00
24.69275,81.01218,8.17,D,2026-05-14 07:14:00
24.69688,80.60052,4.08,D,2026-05-14 07:14:00
24.72406,83.02897,15.55,D,2026-05-14 07:14:00
24.72504,83.02728,17.46,D,2026-05-14 07:14:00
24.74702,81.04022,2.93,D,2026-05-14 07:14:00
24.74871,81.03905,2.75,D,2026-05-14 07:14:00
24.75494,80.30061,7.45,D,2026-05-14 07:14:00
24.75988,77.16918,11.36,D,2026-05-14 07:14:00
24.7961,80.47985,3.7,D,2026-05-14 07:14:00
24.81015,78.14363,4.47,D,2026-05-14 07:14:00
24.84429,79.11111,2.13,D,2026-05-14 07:14:00
24.87795,81.03564,5.14,D,2026-05-14 07:14:00
24.89806,76.54327,8.28,D,2026-05-14 07:14:00
24.90496,79.86823,3.27,D,2026-05-14 07:14:00
24.91407,76.10756,12.62,D,2026-05-14 07:14:00
24.93357,82.35992,1.22,D,2026-05-14 07:14:00
24.93603,82.36113,7.46,D,2026-05-14 07:14:00
24.9964,78.21658,6.18,D,2026-05-14 07:14:00
25.0354,84.1095,4.63,D,2026-05-14 07:14:00
25.10153,78.72041,2.38,D,2026-05-14 07:14:00
25.12353,85.30156,1.82,D,2026-05-14 07:14:00
25.14842,82.52287,4.4,D,2026-05-14 07:14:00
25.15193,77.15594,6.61,D,2026-05-14 07:14:00
25.20135,79.68293,6.44,D,2026-05-14 07:14:00
25.20476,79.68175,5.84,D,2026-05-14 07:14:00
25.21366,84.47559,4.1,D,2026-05-14 07:14:00
25.22676,80.50045,4.1,D,2026-05-14 07:14:00
25.23042,76.95351,5.67,D,2026-05-14 07:14:00
25.23686,76.86996,6.94,D,2026-05-14 07:14:00
25.24134,76.87246,9.62,D,2026-05-14 07:14:00
25.2884,84.17011,5.13,D,2026-05-14 07:14:00
25.29644,84.43354,6.35,D,2026-05-14 07:14:00
25.29731,84.4379,6.35,D,2026-05-14 07:14:00
25.30066,84.43253,3.88,D,2026-05-14 07:14:00
25.30277,76.19891,8.82,D,2026-05-14 07:14:00
25.30346,76.20137,14.58,D,2026-05-14 07:14:00
25.33374,84.46555,5.23,D,2026-05-14 07:14:00
25.36425,84.4457,5.53,D,2026-05-14 07:14:00
25.37153,80.49901,5.87,D,2026-05-14 07:14:00
25.37497,80.49886,5.8,D,2026-05-14 07:14:00
25.38668,84.29314,3.17,D,2026-05-14 07:14:00
25.38669,80.46688,5.68,D,2026-05-14 07:14:00
25.39713,85.00616,1.55,D,2026-05-14 07:14:00
25.47113,76.69949,7.87,D,2026-05-14 07:14:00
25.48399,83.71844,3.41,D,2026-05-14 07:14:00
25.50799,80.55237,2.21,D,2026-05-14 07:14:00
25.50987,80.55136,2.3,D,2026-05-14 07:14:00
25.54457,78.76746,6.93,D,2026-05-14 07:14:00
25.59812,76.57586,8.79,D,2026-05-14 07:14:00
25.59871,79.92421,10.8,D,2026-05-14 07:14:00
25.59978,76.58226,8.79,D,2026-05-14 07:14:00
25.60082,76.57545,15.66,D,2026-05-14 07:14:00
25.60252,76.58182,15.43,D,2026-05-14 07:14:00
25.64576,79.85081,6.08,D,2026-05-14 07:14:00
25.6467,79.85487,6.08,D,2026-05-14 07:14:00
25.65051,78.51993,6.03,D,2026-05-14 07:14:00
25.66377,83.93163,4.48,D,2026-05-14 07:14:00
25.68338,77.97691,5.04,D,2026-05-14 07:14:00
25.68492,79.94699,8.95,D,2026-05-14 07:14:00
25.68556,79.94678,6.57,D,2026-05-14 07:14:00
25.68946,77.97511,5.04,D,2026-05-14 07:14:00
25.70398,79.09478,5.37,D,2026-05-14 07:14:00
25.70447,79.09589,6.66,D,2026-05-14 07:14:00
25.71459,78.1011,4.72,D,2026-05-14 07:14:00
25.71587,78.10621,4.72,D,2026-05-14 07:14:00
25.71849,78.03891,7.6,D,2026-05-14 07:14:00
25.71979,78.0441,6.86,D,2026-05-14 07:14:00
25.73376,80.03051,5.13,D,2026-05-14 07:14:00
25.75176,78.1722,9.7,D,2026-05-14 07:14:00
25.75303,78.1773,10.24,D,2026-05-14 07:14:00
25.75777,78.17043,8.63,D,2026-05-14 07:14:00
25.75904,78.17553,7.0,D,2026-05-14 07:14:00
25.7655,79.0962,4.85,D,2026-05-14 07:14:00
25.78285,78.97104,4.31,D,2026-05-14 07:14:00
25.78302,77.96532,2.73,D,2026-05-14 07:14:00
25.78422,78.96991,6.79,D,2026-05-14 07:14:00
25.80649,78.23731,1.36,D,2026-05-14 07:14:00
25.82037,80.63329,3.12,D,2026-05-14 07:14:00
25.84176,80.27213,3.43,D,2026-05-14 07:14:00
25.84447,80.25924,3.18,D,2026-05-14 07:14:00
25.84711,80.27065,19.62,D,2026-05-14 07:14:00
25.85262,80.07173,4.37,D,2026-05-14 07:14:00
25.87476,82.81075,6.59,D,2026-05-14 07:14:00
25.90696,83.0562,6.46,D,2026-05-14 07:14:00
25.90952,78.03082,13.59,D,2026-05-14 07:14:00
25.91426,78.0239,12.34,D,2026-05-14 07:14:00
25.91434,78.38775,5.75,D,2026-05-14 07:14:00
25.95968,78.57156,2.82,D,2026-05-14 07:14:00
25.96947,83.31136,3.79,D,2026-05-14 07:14:00
25.98277,78.19473,7.33,D,2026-05-14 07:14:00
25.99411,79.7192,3.0,D,2026-05-14 07:14:00
25.99564,78.69268,4.25,D,2026-05-14 07:14:00
26.00031,78.68629,2.54,D,2026-05-14 07:14:00
26.00772,78.03892,10.55,D,2026-05-14 07:14:00
26.00798,79.72826,5.43,D,2026-05-14 07:14:00
26.0088,78.03967,8.37,D,2026-05-14 07:14:00
26.00901,78.04402,11.85,D,2026-05-14 07:14:00
26.01006,78.04478,8.37,D,2026-05-14 07:14:00
26.02631,77.98415,6.38,D,2026-05-14 07:14:00
26.03376,79.83704,6.22,D,2026-05-14 07:14:00
26.04808,84.3008,3.31,D,2026-05-14 07:14:00
26.05472,78.22704,2.18,D,2026-05-14 07:14:00
26.05481,78.22584,5.75,D,2026-05-14 07:14:00
26.06718,78.40153,5.89,D,2026-05-14 07:14:00
26.13795,78.85067,2.17,D,2026-05-14 07:14:00
26.14186,80.20031,4.65,D,2026-05-14 07:14:00
26.14258,78.84443,5.26,D,2026-05-14 07:14:00
26.14369,78.84899,5.73,D,2026-05-14 07:14:00
26.17103,81.4781,1.14,D,2026-05-14 07:14:00
26.19561,77.27579,9.69,D,2026-05-14 07:14:00
26.26838,79.82905,2.46,D,2026-05-14 07:14:00
26.28703,77.49236,2.92,D,2026-05-14 07:14:00
26.29044,77.49166,3.48,D,2026-05-14 07:14:00
26.29848,79.68857,3.76,D,2026-05-14 07:14:00
26.29925,79.68781,2.89,D,2026-05-14 07:14:00
26.31286,78.32999,4.88,D,2026-05-14 07:14:00
26.31838,79.19456,3.33,D,2026-05-14 07:14:00
26.32694,77.54441,5.43,D,2026-05-14 07:14:00
26.32995,77.54377,12.57,D,2026-05-14 07:14:00
26.33307,77.54253,5.43,D,2026-05-14 07:14:00
26.33817,77.69072,4.44,D,2026-05-14 07:14:00
26.33867,79.05335,3.12,D,2026-05-14 07:14:00
26.33973,79.0536,3.26,D,2026-05-14 07:14:00
26.34034,77.69061,5.9,D,2026-05-14 07:14:00
26.34456,77.50986,5.75,D,2026-05-14 07:14:00
26.34853,77.67094,6.24,D,2026-05-14 07:14:00
26.35236,77.6693,9.14,D,2026-05-14 07:14:00
26.36647,77.71675,3.73,D,2026-05-14 07:14:00
26.3702,78.70233,2.72,D,2026-05-14 07:14:00
26.37423,79.68835,1.86,D,2026-05-14 07:14:00
26.37869,77.79215,2.46,D,2026-05-14 07:14:00
26.38321,77.7901,7.35,D,2026-05-14 07:14:00
26.38473,77.79028,3.66,D,2026-05-14 07:14:00
26.38666,80.21406,1.73,D,2026-05-14 07:14:00
26.39351,77.70227,3.72,D,2026-05-14 07:14:00
26.39485,77.70754,3.72,D,2026-05-14 07:14:00
26.4018,77.57937,9.21,D,2026-05-14 07:14:00
26.40315,77.58473,11.28,D,2026-05-14 07:14:00
26.40688,77.58044,9.01,D,2026-05-14 07:14:00
26.40871,83.04357,3.19,D,2026-05-14 07:14:00
26.4185,77.59991,8.54,D,2026-05-14 07:14:00
26.47393,77.76467,5.91,D,2026-05-14 07:14:00
26.47512,77.76754,5.67,D,2026-05-14 07:14:00
26.49745,77.67776,1.16,D,2026-05-14 07:14:00
26.50559,79.75886,2.69,D,2026-05-14 07:14:00
26.53391,78.55121,4.11,D,2026-05-14 07:14:00
26.53505,78.55588,4.11,D,2026-05-14 07:14:00
26.64112,79.47852,9.98,D,2026-05-14 07:14:00
26.64162,80.04182,3.26,D,2026-05-14 07:14:00
26.64186,79.21992,1.88,D,2026-05-14 07:14:00
26.6421,79.48263,10.72,D,2026-05-14 07:14:00
26.6866,79.47826,4.14,D,2026-05-14 07:14:00
26.68788,79.47797,4.74,D,2026-05-14 07:14:00
26.69789,80.05739,0.97,D,2026-05-14 07:14:00
26.70173,80.05685,3.3,D,2026-05-14 07:14:00
26.70319,80.05588,1.36,D,2026-05-14 07:14:00
26.70934,79.79207,1.46,D,2026-05-14 07:14:00
26.72244,79.94508,2.01,D,2026-05-14 07:14:00
26.72507,82.3166,5.31,D,2026-05-14 07:14:00
26.75938,79.42414,6.82,D,2026-05-14 07:14:00
26.76105,79.42151,3.99,D,2026-05-14 07:14:00
26.81391,79.59678,1.44,D,2026-05-14 07:14:00
26.83067,79.27944,6.55,D,2026-05-14 07:14:00
26.83418,79.2787,3.12,D,2026-05-14 07:14:00
26.8352,79.28286,3.12,D,2026-05-14 07:14:00
26.92506,79.41091,4.81,D,2026-05-14 07:14:00
27.0407,83.31607,2.57,D,2026-05-14 07:14:00
27.11513,78.99204,2.29,D,2026-05-14 07:14:00
27.2052,80.10893,2.4,D,2026-05-14 07:14:00
27.26241,83.11382,1.69,D,2026-05-14 07:14:00
27.42961,80.24867,1.55,D,2026-05-14 07:14:00
27.52718,79.90914,2.45,D,2026-05-14 07:14:00
27.70957,78.47809,5.46,D,2026-05-14 07:14:00
27.79139,79.12715,1.63,D,2026-05-14 07:14:00
27.88825,82.98261,6.44,D,2026-05-14 07:14:00
27.92177,79.35438,1.76,D,2026-05-14 07:14:00
28.00288,79.86246,2.87,D,2026-05-14 07:14:00
28.00918,77.55327,2.95,D,2026-05-14 07:14:00
28.01045,77.55827,3.13,D,2026-05-14 07:14:00
28.18543,80.19281,1.1,D,2026-05-14 07:14:00
28.25847,80.22691,1.7,D,2026-05-14 07:14:00
28.27961,80.19718,1.64,D,2026-05-14 07:14:00
28.32494,80.34456,3.31,D,2026-05-14 07:14:00
28.48086,79.93201,3.04,D,2026-05-14 07:14:00
28.69473,81.71201,23.44,D,2026-05-14 07:14:00
28.78233,79.71684,2.49,D,2026-05-14 07:14:00
28.79047,79.82183,2.01,D,2026-05-14 07:14:00
28.80311,77.06795,2.66,D,2026-05-14 07:14:00
28.80394,77.07143,4.21,D,2026-05-14 07:14:00
28.84447,79.88904,1.93,D,2026-05-14 07:14:00
28.95201,80.2282,1.46,D,2026-05-14 07:14:00
28.9751,79.23636,3.26,D,2026-05-14 07:14:00
28.99132,79.50593,2.75,D,2026-05-14 07:14:00
28.9917,79.32909,1.43,D,2026-05-14 07:14:00
29.0235,79.22569,3.12,D,2026-05-14 07:14:00
29.04278,75.80658,4.68,D,2026-05-14 07:14:00
29.04451,75.81027,8.29,D,2026-05-14 07:14:00
29.04597,75.81857,9.38,D,2026-05-14 07:14:00
29.04614,75.81625,7.47,D,2026-05-14 07:14:00
29.04934,79.28723,1.83,D,2026-05-14 07:14:00
29.05217,79.28562,1.63,D,2026-05-14 07:14:00
29.17318,79.16891,4.14,D,2026-05-14 07:14:00
29.21282,78.99438,2.69,D,2026-05-14 07:14:00
29.21733,79.9291,1.57,D,2026-05-14 07:14:00
29.21995,79.17524,1.37,D,2026-05-14 07:14:00
29.33548,78.97721,2.81,D,2026-05-14 07:14:00
29.36354,73.78487,5.21,D,2026-05-14 07:14:00
29.36646,73.78462,3.16,D,2026-05-14 07:14:00
29.4481,74.04613,4.29,D,2026-05-14 07:14:00
29.50748,79.4156,3.22,D,2026-05-14 07:14:00
29.50784,79.41582,3.48,D,2026-05-14 07:14:00
29.508,79.41776,3.22,D,2026-05-14 07:14:00
29.50836,79.41799,3.48,D,2026-05-14 07:14:00
29.56529,75.27123,6.64,D,2026-05-14 07:14:00
29.56604,75.26974,7.48,D,2026-05-14 07:14:00
29.74899,82.02198,5.39,D,2026-05-14 07:14:00
29.76057,79.94597,2.78,D,2026-05-14 07:14:00
29.80441,75.71518,4.24,D,2026-05-14 07:14:00
29.80727,79.01311,8.46,D,2026-05-14 07:14:00
29.81678,79.00581,7.06,D,2026-05-14 07:14:00
29.81769,79.00958,11.97,D,2026-05-14 07:14:00
29.81932,79.01637,5.04,D,2026-05-14 07:14:00
29.82006,79.0194,5.04,D,2026-05-14 07:14:00
29.87562,76.01305,2.86,D,2026-05-14 07:14:00
29.88282,76.85621,3.44,D,2026-05-14 07:14:00
29.8881,76.85787,5.91,D,2026-05-14 07:14:00
29.88851,76.11215,3.91,D,2026-05-14 07:14:00
29.89105,76.10806,2.77,D,2026-05-14 07:14:00
29.90065,79.21654,3.31,D,2026-05-14 07:14:00
29.90945,75.02087,3.53,D,2026-05-14 07:14:00
29.91004,75.75468,5.89,D,2026-05-14 07:14:00
29.91124,75.02721,3.53,D,2026-05-14 07:14:00
29.91167,75.02291,5.95,D,2026-05-14 07:14:00
29.91172,75.75156,5.63,D,2026-05-14 07:14:00
29.92172,79.16814,5.21,D,2026-05-14 07:14:00
29.94701,74.17075,8.97,D,2026-05-14 07:14:00
29.94904,74.17784,7.62,D,2026-05-14 07:14:00
29.97957,81.19915,8.08,D,2026-05-14 07:14:00
29.99369,79.61256,4.73,D,2026-05-14 07:14:00
30.0141,75.64896,2.6,D,2026-05-14 07:14:00
30.01446,75.50021,3.47,D,2026-05-14 07:14:00
